year,ac_no,candidate,gender,age,category,party,general_votes,postal_votes,total_votes,vote_pct,position
2021,16,Binay Sarkar,MALE,50.0,SC,AMB,737,3,740,0.31,9
2021,17,DR. PRADIP KUMAR BARMA,MALE,66.0,SC,TMC,93648,2020,95668,42.34,1
2021,17,SOUJIT SINGHA (PIKU),MALE,47.0,SC,BJP,92373,2354,94727,41.93,2
2021,17,SUKHBILAS BARMA,MALE,75.0,SC,INC,23173,1055,24228,10.72,3
2021,17,SUBHASH KUMAR SARKAR,MALE,53.0,SC,BSP,1590,19,1609,0.71,4
2021,17,RAKHI SARKAR,FEMALE,31.0,SC,IND,1537,19,1556,0.69,5
2021,17,HAREKRISHNA SARKAR,MALE,49.0,SC,IND,1142,5,1147,0.51,6
2021,17,ISWAR BARAI,MALE,31.0,SC,AMB,999,12,1011,0.45,7
2021,17,HARIDAS BISWAS,MALE,37.0,SC,IND,949,13,962,0.43,8
2021,17,PALENDRA NATH ROY,MALE,41.0,SC,SUCI,884,14,898,0.4,9
2021,17,PRAHLAD ROY,MALE,33.0,SC,IND,725,21,746,0.33,10
2021,18,KHAGESWAR ROY,MALE,69.0,SC,TMC,103587,1054,104641,48.5,1
2021,18,SUPEN ROY,MALE,60.0,SC,BJP,87822,1046,88868,41.19,2
2021,18,RATAN KUMAR ROY,MALE,46.0,SC,CPI(M),11897,211,12108,5.61,3
2021,18,TAPATI ROY (BARMAN),FEMALE,31.0,SC,KPPU,1851,9,1860,0.86,4
2021,18,UDAY ROY,MALE,53.0,SC,SUCI,1590,15,1605,0.74,5
2021,18,SANTI KISHOR BARARI,MALE,63.0,SC,BSP,1498,12,1510,0.7,6
2021,18,DIGBIJAY MANDAL,MALE,60.0,SC,IND,1137,9,1146,0.53,7
2021,18,NIRODE CHANDRA ADHIKARY,MALE,68.0,SC,AMB,833,9,842,0.39,8
2021,19,Sikha Chatterjee,FEMALE,68.0,GENERAL,BJP,128302,786,129088,49.85,1
2021,19,Goutam Deb,MALE,64.0,GENERAL,TMC,100844,651,101495,39.19,2
2021,19,Dilip Singh,MALE,54.0,GENERAL,CPI(M),17747,251,17998,6.95,3
2021,19,Radhakrishna Namadas,MALE,47.0,SC,BSP,1391,4,1395,0.54,4
2021,19,Maheswar Barman,MALE,43.0,SC,IND,1388,3,1391,0.54,5
2021,19,Rakhi Mandal,FEMALE,42.0,GENERAL,IND,1087,6,1093,0.42,6
2021,19,Subash Biswas,MALE,67.0,SC,IND,1047,5,1052,0.41,7
2021,19,Amitav Naskar,MALE,35.0,SC,RPI(A),876,5,881,0.34,8
2021,19,Shambhu Sutradhar,MALE,59.0,GENERAL,AMB,646,4,650,0.25,9
2021,19,Maniul Islam,MALE,49.0,GENERAL,SUCI,544,3,547,0.21,10
2021,20,BULU CHIK BARAIK,MALE,61.0,ST,TMC,98697,389,99086,46.46,1
2021,20,MAHESH BAGEY,MALE,41.0,ST,BJP,93106,515,93621,43.9,2
2021,20,MANU ORAON,MALE,39.0,ST,CPI(M),10797,132,10929,5.12,3
2021,20,GITA ORAON,FEMALE,26.0,ST,SUCI,3000,8,3008,1.41,4
2021,20,BABLU MAJHI,MALE,37.0,ST,IND,1907,5,1912,0.9,5
2021,21,PUNA BHENGRA,MALE,46.0,ST,BJP,94371,351,94722,49.55,1
2021,21,JOSEPH MUNDA,MALE,49.0,ST,TMC,70999,248,71247,37.27,2
2021,21,SUKBIR SUBBA,MALE,53.0,ST,INC,12378,64,12442,6.51,3
2021,21,ROBAT MUNDA,MALE,42.0,ST,IND,3280,3,3283,1.72,4
2021,21,BENAM ORAON,MALE,42.0,ST,PRPP,2243,4,2247,1.18,5
2021,21,ASHAN TIRKEY,MALE,31.0,ST,IND,1770,4,1774,0.93,6
2021,22,RUDEN SADA LEPCHA,MALE,51.0,ST,IND,57344,862,58206,37.59,1
2021,22,SUVA PRADHAN,MALE,58.0,GENERAL,BJP,53227,1109,54336,35.09,2
2021,22,DR. R.B. BHUJEL,MALE,61.0,GENERAL,IND,31479,377,31856,20.57,3
2021,22,PENJO GOMPU BHUTIA,MALE,35.0,GENERAL,NPEP,1750,55,1805,1.17,4
2021,22,SONGDEN LEPCHA,MALE,33.0,ST,IND,1688,32,1720,1.11,5
2021,22,DILIP PRADHAN,MALE,57.0,GENERAL,INC,1632,83,1715,1.11,6
2021,22,UJJWAL RAI,MALE,31.0,GENERAL,IND,1495,67,1562,1.01,7
2021,22,BHUPENDRA LEPCHA,MALE,43.0,ST,IND,1463,40,1503,0.97,8
2021,23,NEERAJ TAMANG ZIMBA,MALE,39.0,ST,BJP,67161,1746,68907,40.88,1
2021,23,KESHAV RAJ SHARMA,MALE,35.0,GENERAL,IND,46927,704,47631,28.26,2
2021,23,PEMBA TSHERING,MALE,56.0,ST,IND,37804,436,38240,22.68,3
2021,23,SURAJ GURUNG,MALE,38.0,GENERAL,IND,2766,89,2855,1.69,4
2021,23,NIMA GYAMTSHO SHERPA,MALE,41.0,ST,IND,2042,46,2088,1.24,5
2021,23,GAUTAM RAJ RAI,MALE,62.0,GENERAL,CPI(M),1821,92,1913,1.13,6
2021,23,ANJANI SHARMA,FEMALE,40.0,GENERAL,IND,1600,77,1677,0.99,7
2021,23,MILAN THOKAR,MALE,50.0,GENERAL,IND,1367,30,1397,0.83,8
2021,23,BHARAT PRAKASH RAI,MALE,72.0,GENERAL,IND,1286,41,1327,0.79,9
2021,24,Bishnu Prasad Sharma (alias B.P. Bajgain),MALE,52.0,GENERAL,BJP,72153,1322,73475,41.86,1
2021,24,Tshering Lama,FEMALE,56.0,ST,IND,57044,916,57960,33.02,2
2021,24,Narbu Lama,MALE,47.0,ST,IND,32770,324,33094,18.85,3
2021,24,Uttam Brahman,MALE,54.0,GENERAL,CPI(M),2494,51,2545,1.45,4
2021,24,Ugam Lama,MALE,46.0,ST,IND,2235,64,2299,1.31,5
2021,24,Bikram Rai,MALE,38.0,GENERAL,IND,1402,27,1429,0.81,6
2021,24,Pranav Pradhan,MALE,30.0,GENERAL,IND,1341,25,1366,0.78,7
2021,24,Bhupendra Lepcha,MALE,43.0,ST,IND,935,25,960,0.55,8
2021,25,Anandamay Barman,MALE,38.0,SC,BJP,138819,966,139785,58.1,1
2021,25,Rajen Sundas,MALE,62.0,SC,TMC,68454,483,68937,28.65,2
2021,25,Sankar Malakar,MALE,66.0,SC,INC,22865,195,23060,9.58,3
2021,25,Rakesh Mondal,MALE,51.0,SC,IND,2032,14,2046,0.85,4
