ac_no,ac_name,reservation,is_reserved,ac_name_2021,ac_name_2026,district,region
177,ULUBERIA UTTAR,SC,1,Uluberia Uttar,ULUBERIA UTTAR (SC),Howrah,Kolkata & Howrah
178,ULUBERIA DAKSHIN,GEN,0,Uluberia Dakshin,ULUBERIA DAKSHIN,Howrah,Kolkata & Howrah
179,SHYAMPUR,GEN,0,Shyampur,SHYAMPUR,Howrah,Kolkata & Howrah
180,BAGNAN,GEN,0,Bagnan,BAGNAN,Howrah,Kolkata & Howrah
181,AMTA,GEN,0,Amta,AMTA,Howrah,Kolkata & Howrah
182,UDAYNARAYANPUR,GEN,0,Udaynarayanpur,UDAYNARAYANPUR,Howrah,Kolkata & Howrah
183,JAGATBALLAVPUR,GEN,0,Jagatballavpur,JAGATBALLAVPUR,Howrah,Kolkata & Howrah
184,DOMJUR,GEN,0,Domjur,DOMJUR,Howrah,Kolkata & Howrah
185,UTTARPARA,GEN,0,Uttarpara,UTTARPARA,Hooghly,Hooghly & Purba Medinipur
186,SREERAMPUR,GEN,0,Sreerampur,SREERAMPUR,Hooghly,Hooghly & Purba Medinipur
187,CHAMPDANI,GEN,0,Champdani,CHAMPDANI,Hooghly,Hooghly & Purba Medinipur
188,SINGUR,GEN,0,Singur,SINGUR,Hooghly,Hooghly & Purba Medinipur
189,CHANDANNAGAR,GEN,0,Chandannagar,CHANDANNAGAR,Hooghly,Hooghly & Purba Medinipur
190,CHUNCHURA,GEN,0,Chunchura,CHUNCHURA,Hooghly,Hooghly & Purba Medinipur
191,BALAGARH,SC,1,Balagarh,BALAGARH (SC),Hooghly,Hooghly & Purba Medinipur
192,PANDUA,GEN,0,Pandua,PANDUA,Hooghly,Hooghly & Purba Medinipur
193,SAPTAGRAM,GEN,0,Saptagram,SAPTAGRAM,Hooghly,Hooghly & Purba Medinipur
194,CHANDITALA,GEN,0,Chanditala,CHANDITALA,Hooghly,Hooghly & Purba Medinipur
195,JANGIPARA,GEN,0,Jangipara,JANGIPARA,Hooghly,Hooghly & Purba Medinipur
196,HARIPAL,GEN,0,Haripal,HARIPAL,Hooghly,Hooghly & Purba Medinipur
197,DHANEKHALI,SC,1,Dhanekhali,DHANEKHALI (SC),Hooghly,Hooghly & Purba Medinipur
198,TARAKESWAR,GEN,0,Tarakeswar,TARAKESWAR,Hooghly,Hooghly & Purba Medinipur
199,PURSURAH,GEN,0,Pursurah,PURSURAH,Hooghly,Hooghly & Purba Medinipur
200,ARAMBAG,SC,1,Arambag,ARAMBAG (SC),Hooghly,Hooghly & Purba Medinipur
201,GOGHAT,SC,1,Goghat,GOGHAT (SC),Hooghly,Hooghly & Purba Medinipur
202,KHANAKUL,GEN,0,Khanakul,KHANAKUL,Hooghly,Hooghly & Purba Medinipur
203,TAMLUK,GEN,0,Tamluk,TAMLUK,Purba Medinipur,Hooghly & Purba Medinipur
204,PANSKURA PURBA,GEN,0,Panskura Purba,PANSKURA PURBA,Purba Medinipur,Hooghly & Purba Medinipur
205,PANSKURA PASCHIM,GEN,0,Panskura Paschim,PANSKURA PASCHIM,Purba Medinipur,Hooghly & Purba Medinipur
206,MOYNA,GEN,0,Moyna,MOYNA,Purba Medinipur,Hooghly & Purba Medinipur
207,NANDAKUMAR,GEN,0,Nandakumar,NANDAKUMAR,Purba Medinipur,Hooghly & Purba Medinipur
208,MAHISADAL,GEN,0,Mahisadal,MAHISADAL,Purba Medinipur,Hooghly & Purba Medinipur
209,HALDIA,SC,1,Haldia,HALDIA (SC),Purba Medinipur,Hooghly & Purba Medinipur
210,NANDIGRAM,GEN,0,Nandigram,NANDIGRAM,Purba Medinipur,Hooghly & Purba Medinipur
211,CHANDIPUR,GEN,0,Chandipur,CHANDIPUR,Purba Medinipur,Hooghly & Purba Medinipur
212,PATASHPUR,GEN,0,Patashpur,PATASHPUR,Purba Medinipur,Hooghly & Purba Medinipur
213,KANTHI UTTAR,GEN,0,Kanthi Uttar,KANTHI UTTAR,Purba Medinipur,Hooghly & Purba Medinipur
214,BHAGABANPUR,GEN,0,Bhagabanpur,BHAGABANPUR,Purba Medinipur,Hooghly & Purba Medinipur
215,KHEJURI,SC,1,Khejuri,KHEJURI (SC),Purba Medinipur,Hooghly & Purba Medinipur
216,KANTHI DAKSHIN,GEN,0,Kanthi Dakshin,KANTHI DAKSHIN,Purba Medinipur,Hooghly & Purba Medinipur
217,RAMNAGAR,GEN,0,Ramnagar,RAMNAGAR,Purba Medinipur,Hooghly & Purba Medinipur
218,EGRA,GEN,0,Egra,EGRA,Purba Medinipur,Hooghly & Purba Medinipur
219,DANTAN,GEN,0,Dantan,DANTAN,Paschim Medinipur,Jangalmahal
220,NAYAGRAM,ST,1,Nayagram,NAYAGRAM (ST),Jhargram,Jangalmahal
221,GOPIBALLAVPUR,GEN,0,Gopiballavpur,GOPIBALLAVPUR,Jhargram,Jangalmahal
222,JHARGRAM,GEN,0,Jhargram,JHARGRAM,Jhargram,Jangalmahal
223,KESHIARY,ST,1,Keshiary,KESHIARY (ST),Paschim Medinipur,Jangalmahal
224,KHARAGPUR SADAR,GEN,0,Kharagpur Sadar,KHARAGPUR SADAR,Paschim Medinipur,Jangalmahal
