state,ac_no,ac_name,candidate,gender,age,category,party,general_votes,postal_votes,total_votes,vote_pct,total_electors,year
West Bengal,230,DASPUR,Kousik Goswami,MALE,53.0,GENERAL,INC,1656,9,1665,0.66,296256,2026
West Bengal,230,DASPUR,Ashis Hutait,MALE,25.0,GENERAL,IND,876,2,878,0.35,296256,2026
West Bengal,230,DASPUR,Mrinal Kanti Mandal,MALE,52.0,GENERAL,BSP,665,6,671,0.27,296256,2026
West Bengal,230,DASPUR,Jagadish Mondal Adhikary,MALE,46.0,GENERAL,SUCI,432,6,438,0.17,296256,2026
West Bengal,230,DASPUR,Basudeb Dinda,MALE,52.0,GENERAL,IND,393,5,398,0.16,296256,2026
West Bengal,231,GHATAL (SC),Sital Kapat,MALE,36.0,SC,BJP,130500,1050,131550,54.35,276794,2026
West Bengal,231,GHATAL (SC),Shyamali Sardar,FEMALE,33.0,SC,TMC,93338,555,93893,38.79,276794,2026
West Bengal,231,GHATAL (SC),Santi Nath Satick,MALE,57.0,SC,CPI(M),9218,134,9352,3.86,276794,2026
West Bengal,231,GHATAL (SC),Kaberi Dolui,FEMALE,61.0,SC,INC,1847,20,1867,0.77,276794,2026
West Bengal,231,GHATAL (SC),Ruma Patra,FEMALE,34.0,SC,IND,1370,4,1374,0.57,276794,2026
West Bengal,231,GHATAL (SC),Nota,,,,NOTA,1298,10,1308,0.54,276794,2026
West Bengal,231,GHATAL (SC),Sujay Dolai,MALE,43.0,SC,BSP,989,2,991,0.41,276794,2026
West Bengal,231,GHATAL (SC),Khagendra Dolai,MALE,35.0,SC,IND,741,3,744,0.31,276794,2026
West Bengal,231,GHATAL (SC),Bivash Singha,MALE,32.0,SC,IND,484,0,484,0.2,276794,2026
West Bengal,231,GHATAL (SC),Narugopal Dolui,MALE,54.0,SC,SUCI,457,5,462,0.19,276794,2026
West Bengal,232,CHANDRAKONA (SC),Sukanta Dolui,MALE,41.0,SC,BJP,139736,781,140517,53.09,283081,2026
West Bengal,232,CHANDRAKONA (SC),Doloi Surjya Kanta,MALE,45.0,SC,TMC,106616,420,107036,40.44,283081,2026
West Bengal,232,CHANDRAKONA (SC),Suparna Dolai Mallick,FEMALE,40.0,SC,CPI(M),12085,57,12142,4.59,283081,2026
West Bengal,232,CHANDRAKONA (SC),Monika Midya,FEMALE,37.0,SC,INC,2486,14,2500,0.94,283081,2026
West Bengal,232,CHANDRAKONA (SC),Nota,,,,NOTA,1786,9,1795,0.68,283081,2026
West Bengal,232,CHANDRAKONA (SC),Anjan Jana,MALE,63.0,SC,SUCI,698,2,700,0.26,283081,2026
West Bengal,233,GARBETA,Pradip Lodha,MALE,65.0,GENERAL,BJP,112849,903,113752,51.23,233655,2026
West Bengal,233,GARBETA,Uttara Singha (hazra),FEMALE,61.0,GENERAL,TMC,87199,328,87527,39.42,233655,2026
West Bengal,233,GARBETA,Ghosh Tapan Kumar,MALE,64.0,GENERAL,CPI(M),14182,56,14238,6.41,233655,2026
West Bengal,233,GARBETA,Nota,,,,NOTA,2432,23,2455,1.11,233655,2026
West Bengal,233,GARBETA,Siddhartha Bishai,MALE,59.0,SC,INC,1838,21,1859,0.84,233655,2026
West Bengal,233,GARBETA,Madhuri Maiti,FEMALE,46.0,GENERAL,IND,957,2,959,0.43,233655,2026
West Bengal,233,GARBETA,Sk. Md. Mokhdum,MALE,31.0,GENERAL,IND,661,2,663,0.3,233655,2026
West Bengal,233,GARBETA,Tapas Kumar Mishra,MALE,57.0,GENERAL,SUCI,591,5,596,0.27,233655,2026
West Bengal,234,SALBONI,Biman Mahata,MALE,36.0,GENERAL,BJP,131680,1176,132856,49.86,279613,2026
