ac_no,ac_name,district,region,reservation,winner_2021,winner_2026,winner_name_2021,winner_name_2026,margin_2021,margin_2026,margin_pct_2021,margin_pct_2026,roll_2021,roll_2026,turnout_2021,turnout_2026,roll_change_pct,turnout_change_pts,outcome
90,RANAGHAT DAKSHIN,Nadia,Murshidabad-Nadia,SC,BJP,BJP,MUKUT MANI ADHIKARI,Ashim Kumar Biswas,16515,64464.0,6.83,27.7,285180,254197.0,84.75,91.54,-10.86,6.79,Held
91,CHAKDAHA,Nadia,Murshidabad-Nadia,GEN,BJP,BJP,Bankim Chandra Ghosh,Bankim Chandra Ghosh,11680,36945.0,5.51,17.53,245514,224671.0,86.38,93.79,-8.49,7.41,Held
92,KALYANI,Nadia,Murshidabad-Nadia,SC,BJP,BJP,AMBIKA ROY,Anupam Biswas,2206,34792.0,1.0,16.14,257683,230939.0,85.51,93.32,-10.38,7.81,Held
93,HARINGHATA,Nadia,Murshidabad-Nadia,SC,BJP,BJP,ASIM KUMAR SARKAR,Asim Kumar Sarkar,15200,22055.0,7.21,10.37,240606,225582.0,87.64,94.31,-6.24,6.67,Held
94,BAGDA,North 24 Parganas,North 24 Parganas,SC,BJP,BJP,Biswajit Das,Soma Thakur,9792,34616.0,4.48,15.94,277464,241642.0,78.85,89.89,-12.91,11.04,Held
95,BANGAON UTTAR,North 24 Parganas,North 24 Parganas,SC,BJP,BJP,ASHOK KIRTANIA,Ashok Kirtania,10488,40670.0,5.11,19.24,251387,226988.0,81.62,93.11,-9.71,11.49,Held
96,BANGAON DAKSHIN,North 24 Parganas,North 24 Parganas,SC,BJP,BJP,SWAPAN MAJUMDER,Swapan Majumder,2004,37814.0,0.96,17.82,248278,228861.0,83.71,92.72,-7.82,9.01,Held
97,GAIGHATA,North 24 Parganas,North 24 Parganas,SC,BJP,BJP,SUBRATA THAKUR,Subrata Thakur,9578,47683.0,4.49,22.79,252053,223535.0,84.6,93.59,-11.31,8.99,Held
98,SWARUPNAGAR,North 24 Parganas,North 24 Parganas,SC,TMC,TMC,BINA MONDAL,Bina Mondal,34800,16017.0,16.43,7.34,246109,229583.0,86.06,95.01,-6.71,8.95,Held
99,BADURIA,North 24 Parganas,North 24 Parganas,GEN,TMC,TMC,ABDUR RAHIM QUAZI,Burhanul Mukaddim (liton),56444,40061.0,26.51,17.62,243747,236598.0,87.34,96.1,-2.93,8.76,Held
100,HABRA,North 24 Parganas,North 24 Parganas,GEN,TMC,BJP,JYOTI PRIYA MALLICK,Debdas Mondal,3841,31462.0,1.88,15.83,242425,209653.0,84.22,94.79,-13.52,10.57,TMC to BJP
101,ASHOKNAGAR,North 24 Parganas,North 24 Parganas,GEN,TMC,BJP,NARAYAN GOSWAMI,Dr. Sumay Hira,23532,9408.0,10.86,4.28,257180,229948.0,84.27,95.57,-10.59,11.3,TMC to BJP
102,AMDANGA,North 24 Parganas,North 24 Parganas,GEN,TMC,TMC,RAFIQUR RAHAMAN,Mohammad Kasem Siddique,25480,2995.0,12.03,1.4,242462,221501.0,87.33,96.39,-8.65,9.06,Held
103,BIJPUR,North 24 Parganas,North 24 Parganas,GEN,TMC,BJP,SUBODH ADHIKARY,Sudipta Das,13347,13343.0,9.6,9.21,192316,158512.0,72.33,91.4,-17.58,19.07,TMC to BJP
104,NAIHATI,North 24 Parganas,North 24 Parganas,GEN,TMC,BJP,PARTHA BHOWMICK,Sumitro Chatterjee,18855,10430.0,12.05,6.62,193930,171184.0,80.68,92.1,-11.73,11.42,TMC to BJP
105,BHATPARA,North 24 Parganas,North 24 Parganas,GEN,BJP,BJP,PAWAN KUMAR SINGH,Pawan Kumar Singh,13687,22807.0,12.77,21.45,154037,117493.0,69.59,90.49,-23.72,20.9,Held
106,JAGATDAL,North 24 Parganas,North 24 Parganas,GEN,TMC,BJP,SOMENATH SHYAM ICHINI,Dr. Rajesh Kumar,18364,20909.0,10.13,11.41,233871,196204.0,77.52,93.37,-16.11,15.85,TMC to BJP
107,NOAPARA,North 24 Parganas,North 24 Parganas,GEN,TMC,BJP,MANJU BASU,Arjun Singh,26710,17656.0,13.87,9.05,262153,214216.0,73.48,91.11,-18.29,17.63,TMC to BJP
108,BARRACKPUR,North 24 Parganas,North 24 Parganas,GEN,TMC,BJP,RAJU CHAKRABORTY (RAJ),Kaustuv Bagchi,9222,15822.0,6.22,10.21,215356,171212.0,68.84,90.48,-20.5,21.64,TMC to BJP
109,KHARDAHA,North 24 Parganas,North 24 Parganas,GEN,TMC,BJP,KAJAL SINHA,Kalyan Chakraborti,28140,24486.0,15.36,12.46,232619,210105.0,78.73,93.53,-9.68,14.8,TMC to BJP
110,DUM DUM UTTAR,North 24 Parganas,North 24 Parganas,GEN,TMC,BJP,CHANDRIMA BHATTACHARYA,Sourav Sikdar,28499,26404.0,13.37,11.82,273015,240505.0,78.07,92.87,-11.91,14.8,TMC to BJP
111,PANIHATI,North 24 Parganas,North 24 Parganas,GEN,TMC,BJP,NIRMAL GHOSH,Ratna Debnath,25177,28836.0,14.44,16.48,230748,189867.0,75.56,92.16,-17.72,16.6,TMC to BJP
112,KAMARHATI,North 24 Parganas,North 24 Parganas,GEN,TMC,TMC,MADAN MITRA,Madan Mitra,35408,5646.0,24.54,3.81,197103,162833.0,73.22,91.06,-17.39,17.84,Held
113,BARANAGAR,North 24 Parganas,North 24 Parganas,GEN,TMC,BJP,TAPAS ROY,Sajal Ghosh,35147,16956.0,21.93,10.01,217774,186656.0,73.59,90.73,-14.29,17.14,TMC to BJP
114,DUM DUM,North 24 Parganas,North 24 Parganas,GEN,TMC,BJP,BRATYA BASU,Arijit Bakshi,26731,25273.0,14.42,12.76,247858,217724.0,74.77,90.99,-12.16,16.22,TMC to BJP
115,RAJARHAT NEW TOWN,North 24 Parganas,North 24 Parganas,GEN,TMC,BJP,TAPASH CHATTERJEE,Piyush Kanodia,56432,316.0,24.02,0.13,289075,267716.0,81.26,94.34,-7.39,13.08,TMC to BJP
