ac_no,ac_name,district,region,reservation,winner_2021,winner_2026,winner_name_2021,winner_name_2026,margin_2021,margin_2026,margin_pct_2021,margin_pct_2026,roll_2021,roll_2026,turnout_2021,turnout_2026,tmc_votes_2021,tmc_votes_2026,bjp_votes_2021,bjp_votes_2026,other_votes_2021,other_votes_2026,total_votes_2021,total_votes_2026,roll_change_pct,turnout_change_pts,outcome,flipped
49,MANIKCHAK,Malda,North Bengal,GEN,TMC,BJP,SABITRI MITRA,Gour Chandra Mandal,33878,13938.0,16.37,6.18,253353,236535.0,81.7,95.28,110234.0,96180.0,76356.0,110118.0,19034.0,17864.0,205624.0,224162.0,-6.64,13.58,TMC to BJP,Flipped
50,MALDAHA,Malda,North Bengal,SC,BJP,BJP,Gopal Chandra Saha,Gopal Chandra Saha,15456,50128.0,7.49,22.7,245962,231841.0,83.95,95.24,77942.0,73528.0,93398.0,123656.0,32331.0,21412.0,203671.0,218596.0,-5.74,11.29,Held,Held
51,ENGLISH BAZAR,Malda,North Bengal,GEN,BJP,BJP,SREERUPA MITRA CHAUDHURY(NIRBHOY DIDI),Amlan Bhaduri (buro),20099,93784.0,9.32,39.98,275296,249659.0,78.34,93.95,87656.0,60312.0,107755.0,154096.0,17068.0,18425.0,212479.0,232833.0,-9.31,15.61,Held,Held
52,MOTHABARI,Malda,North Bengal,GEN,TMC,TMC,YEASMIN SABINA,Islam Md Najrul,56573,10496.0,34.68,6.47,196324,169594.0,83.1,95.63,97397.0,65705.0,40824.0,55209.0,22783.0,39936.0,161004.0,160850.0,-13.62,12.53,Held,Held
53,SUJAPUR,Malda,North Bengal,GEN,TMC,TMC,Md Abdul Ghani,Sabina Yeasmin,130163,60287.0,62.7,26.54,251186,236585.0,82.64,96.0,152445.0,112795.0,14789.0,20066.0,38830.0,93312.0,206064.0,226173.0,-5.81,13.36,Held,Held
54,BAISNABNAGAR,Malda,North Bengal,GEN,TMC,BJP,CHANDANA SARKAR,Raju Karmakar,2471,46881.0,1.18,20.85,246956,234158.0,84.49,96.02,83061.0,61811.0,80590.0,108692.0,43296.0,52547.0,206947.0,223050.0,-5.18,11.53,TMC to BJP,Flipped
55,FARAKKA,Murshidabad,Murshidabad-Nadia,GEN,TMC,INC,MANIRUL ISLAM,Motab Shaikh,59945,8193.0,32.16,4.69,227549,181811.0,81.93,96.17,102319.0,47256.0,42374.0,54857.0,40093.0,70945.0,184786.0,173058.0,-20.1,14.24,TMC to INC,Flipped
56,SAMSERGANJ,Murshidabad,Murshidabad-Nadia,GEN,TMC,TMC,Amirul Islam,Mohammed Noor Alam,26379,7587.0,13.99,4.88,235576,161502.0,80.05,96.24,96417.0,61918.0,10800.0,34522.0,78301.0,57336.0,185518.0,153776.0,-31.44,16.19,Held,Held
57,SUTI,Murshidabad,Murshidabad-Nadia,GEN,TMC,TMC,EMANI BISWAS,Emani Biswas,70701,12357.0,32.68,5.6,265418,229360.0,81.5,96.29,127351.0,81330.0,56650.0,68973.0,29603.0,68814.0,213604.0,219117.0,-13.59,14.79,Held,Held
58,JANGIPUR,Murshidabad,Murshidabad-Nadia,GEN,TMC,BJP,JAKIR HOSSAIN,Chitta Mukherjee,92480,10542.0,46.65,4.96,255064,221206.0,77.73,96.11,136444.0,80659.0,43964.0,91201.0,13298.0,39603.0,193706.0,211463.0,-13.27,18.38,TMC to BJP,Flipped
59,RAGHUNATHGANJ,Murshidabad,Murshidabad-Nadia,GEN,TMC,TMC,Akhruzzaman,Akhruzzaman,98313,40555.0,51.61,20.82,249559,200586.0,76.33,97.1,126834.0,88909.0,28521.0,35184.0,32185.0,68719.0,187540.0,192812.0,-19.62,20.77,Held,Held
60,SAGARDIGHI,Murshidabad,Murshidabad-Nadia,GEN,TMC,TMC,SUBRATA SAHA,Bayron Biswas,50206,34260.0,26.87,16.5,236885,217262.0,78.86,95.58,95189.0,90781.0,44983.0,56521.0,44939.0,58420.0,185111.0,205722.0,-8.28,16.72,Held,Held
61,LALGOLA,Murshidabad,Murshidabad-Nadia,GEN,TMC,TMC,ALI MOHAMMAD,Abdul Aziz Doctor,60707,18960.0,31.88,10.52,234381,186332.0,81.25,96.69,107860.0,67954.0,29464.0,35496.0,51720.0,75673.0,189044.0,179123.0,-20.5,15.44,Held,Held
62,BHAGAWANGOLA,Murshidabad,Murshidabad-Nadia,GEN,TMC,TMC,IDRIS ALI,Reyat Hossain Sarkar,106008,56407.0,46.91,25.85,263765,224767.0,85.68,97.09,153795.0,105997.0,16707.0,23104.0,52092.0,88030.0,222594.0,217131.0,-14.79,11.41,Held,Held
63,RANINAGAR,Murshidabad,Murshidabad-Nadia,GEN,TMC,INC,ABDUL SOUMIK HOSSAIN,Julfikar Ali,79702,2701.0,35.9,1.14,256101,244547.0,86.69,97.0,134957.0,76722.0,21138.0,22728.0,63147.0,135512.0,219242.0,234962.0,-4.51,10.31,TMC to INC,Flipped
64,MURSHIDABAD,Murshidabad,Murshidabad-Nadia,GEN,BJP,BJP,GOURI SANKAR GHOSH,Gouri Sankar Ghosh,2491,31521.0,1.09,13.27,268221,248676.0,85.46,95.52,93476.0,82922.0,95967.0,114443.0,36884.0,38727.0,226327.0,236092.0,-7.29,10.06,Held,Held
65,NABAGRAM,Murshidabad,Murshidabad-Nadia,SC,TMC,BJP,KANAI CHANDRA MONDAL,Dilip Saha,35533,5919.0,17.04,2.67,251378,243554.0,82.95,90.98,100455.0,72820.0,64922.0,78739.0,40510.0,68138.0,205887.0,219697.0,-3.11,8.03,TMC to BJP,Flipped
66,KHARGRAM,Murshidabad,Murshidabad-Nadia,SC,TMC,BJP,ASHIS MARJIT,Mitali Mal,32573,9333.0,17.52,4.56,228923,231076.0,81.22,88.49,93255.0,68415.0,60682.0,77748.0,30314.0,56435.0,184251.0,202598.0,0.94,7.27,TMC to BJP,Flipped
67,BURWAN,Murshidabad,Murshidabad-Nadia,SC,TMC,BJP,JIBAN KRISHNA SAHA,Sukhen Kumar Bagdi,2749,22300.0,1.55,11.8,217500,214906.0,81.29,87.91,81890.0,69361.0,79141.0,91661.0,13764.0,25395.0,174795.0,186417.0,-1.19,6.62,TMC to BJP,Flipped
68,KANDI,Murshidabad,Murshidabad-Nadia,GEN,TMC,BJP,APURBA SARKAR (DAVID),Gargi Das Ghosh,38080,10335.0,20.42,5.18,238973,234139.0,78.03,85.19,95399.0,63020.0,57319.0,73355.0,30632.0,60153.0,183350.0,196528.0,-2.02,7.16,TMC to BJP,Flipped
69,BHARATPUR,Murshidabad,Murshidabad-Nadia,GEN,TMC,TMC,HUMAYUN KABIR,Mustafijur Rahaman (suman),43083,30753.0,22.79,14.34,243603,240461.0,77.6,89.17,96226.0,90870.0,53143.0,60117.0,37234.0,61817.0,186603.0,212804.0,-1.29,11.57,Held,Held
70,REJINAGAR,Murshidabad,Murshidabad-Nadia,GEN,TMC,AJUP,RABIUL ALAM CHOWDHURY,Humayun Kabir,68268,58876.0,32.44,24.6,259771,257373.0,81.01,92.98,118494.0,41718.0,50226.0,64660.0,40165.0,131283.0,208885.0,237661.0,-0.92,11.97,TMC to AJUP,Flipped
71,BELDANGA,Murshidabad,Murshidabad-Nadia,GEN,TMC,BJP,HASANUZZAMAN SK,Bharat Kumar Jhawar,53832,13208.0,26.32,5.78,252944,244767.0,80.85,93.39,112862.0,59664.0,59030.0,72872.0,31251.0,94276.0,203143.0,226812.0,-3.23,12.54,TMC to BJP,Flipped
72,BAHARAMPUR,Murshidabad,Murshidabad-Nadia,GEN,BJP,BJP,Subrata Maitra (Kanchan),Subrata Maitra (kanchan),26852,17548.0,13.59,7.82,260667,241429.0,75.81,92.89,62488.0,49586.0,89340.0,91088.0,43254.0,82235.0,195082.0,222909.0,-7.38,17.08,Held,Held
73,HARIHARPARA,Murshidabad,Murshidabad-Nadia,GEN,TMC,TMC,NIAMOT SHEIKH,Niamot Sheikh,14066,12665.0,6.51,5.38,247421,245668.0,87.33,95.78,102660.0,80338.0,18378.0,32057.0,93920.0,121601.0,214958.0,233996.0,-0.71,8.45,Held,Held
74,NOWDA,Murshidabad,Murshidabad-Nadia,GEN,TMC,AJUP,SAHINA MOMTAZ KHAN,Humayun Kabir,74153,27943.0,36.65,12.61,247688,236256.0,81.7,93.8,117684.0,51867.0,43531.0,58520.0,39826.0,110095.0,201041.0,220482.0,-4.62,12.1,TMC to AJUP,Flipped
75,DOMKAL,Murshidabad,Murshidabad-Nadia,GEN,TMC,CPI(M),JAFIKUL ISLAM,Md. Mostafijur Rahaman,47229,16296.0,20.88,6.32,266283,267693.0,84.94,96.3,127671.0,91586.0,12348.0,13180.0,83745.0,151817.0,223764.0,256583.0,0.53,11.36,TMC to CPI(M),Flipped
76,JALANGI,Murshidabad,Murshidabad-Nadia,GEN,TMC,TMC,ABDUR RAZZAK,Babar Ali,79276,21516.0,35.68,8.49,261258,263066.0,85.04,96.29,123840.0,88684.0,43773.0,51693.0,52003.0,111584.0,219616.0,251961.0,0.69,11.25,Held,Held
77,KARIMPUR,Nadia,Murshidabad-Nadia,GEN,TMC,BJP,Bimalendu Sinha Roy,Samarendranath Ghosh,23575,10185.0,10.64,4.23,251039,253802.0,88.24,94.92,110911.0,95049.0,87336.0,105234.0,21931.0,39493.0,220178.0,239776.0,1.1,6.68,TMC to BJP,Flipped
78,TEHATTA,Nadia,Murshidabad-Nadia,GEN,TMC,BJP,Tapas Kumar Saha,Subrata Kabiraj,6915,28253.0,3.17,12.1,252454,253796.0,86.4,92.04,97848.0,83885.0,90933.0,112138.0,27592.0,36643.0,216373.0,232666.0,0.53,5.64,TMC to BJP,Flipped
79,PALASHIPARA,Nadia,Murshidabad-Nadia,GEN,TMC,TMC,Dr. Manik Bhattacharya,Rukbanur Rahman,51336,11454.0,25.24,5.34,244867,232690.0,83.06,92.25,110274.0,89241.0,58938.0,77787.0,32519.0,45574.0,201731.0,212602.0,-4.97,9.19,Held,Held
80,KALIGANJ,Nadia,Murshidabad-Nadia,GEN,TMC,TMC,NASIRUDDIN AHAMED (LAL),Alifa Ahmed,46987,10172.0,22.44,4.64,248358,233595.0,84.31,93.76,111696.0,89292.0,64709.0,79120.0,30923.0,48506.0,207328.0,216918.0,-5.94,9.45,Held,Held
81,NAKASHIPARA,Nadia,Murshidabad-Nadia,GEN,TMC,BJP,Kallol Khan,Santanu Dey,21271,17327.0,10.15,8.41,247691,219401.0,84.61,93.86,104812.0,83273.0,83541.0,100600.0,20071.0,20174.0,208424.0,204047.0,-11.42,9.25,TMC to BJP,Flipped
82,CHAPRA,Nadia,Murshidabad-Nadia,GEN,TMC,TMC,RUKBANUR RAHMAN,Jeber Sekh,12118,30780.0,5.68,14.6,248014,232860.0,85.95,90.51,73866.0,97085.0,58168.0,66305.0,79118.0,45822.0,211152.0,209212.0,-6.11,4.56,Held,Held
83,KRISHNANAGAR UTTAR,Nadia,Murshidabad-Nadia,GEN,BJP,BJP,MUKUL ROY,Tarak Nath Chatterjee,35089,78361.0,17.39,38.78,238220,217296.0,84.71,92.99,74268.0,54850.0,109357.0,133211.0,16329.0,12804.0,199954.0,200865.0,-8.78,8.28,Held,Held
84,NABADWIP,Nadia,Murshidabad-Nadia,GEN,TMC,BJP,PUNDARIKAKSHYA SAHA,Srutisekhar Goswami,18571,21444.0,8.82,9.83,243159,230481.0,86.61,94.66,102170.0,87187.0,83599.0,108631.0,22476.0,21347.0,208245.0,217165.0,-5.21,8.05,TMC to BJP,Flipped
85,KRISHNANAGAR DAKSHIN,Nadia,Murshidabad-Nadia,GEN,TMC,BJP,UJJAL BISWAS,Sadhan Ghosh,9305,27801.0,4.76,14.11,225118,210686.0,86.93,93.54,91738.0,75061.0,82433.0,102862.0,19349.0,18042.0,193520.0,195965.0,-6.41,6.61,TMC to BJP,Flipped
86,SANTIPUR,Nadia,Murshidabad-Nadia,GEN,BJP,BJP,JAGANNATH SARKAR,Swapan Kumar Das,15878,45376.0,7.23,21.11,255619,227916.0,85.95,94.32,93844.0,72565.0,109722.0,117941.0,13741.0,23537.0,217307.0,214043.0,-10.84,8.37,Held,Held
87,RANAGHAT UTTAR PASCHIM,Nadia,Murshidabad-Nadia,GEN,BJP,BJP,PARTHASARATHI CHATTERJEE,Partha Sarathi Chatterjee(babu),23128,57551.0,10.36,26.5,265846,233327.0,83.96,93.06,90509.0,71495.0,113637.0,129046.0,16789.0,14752.0,220935.0,215293.0,-12.23,9.1,Held,Held
